0,8,1.0
0,11,1.0
0,12,2.0
0,16,1.0
0,21,3.0
0,26,1.0
1,6,1.0
1,12,1.0
1,17,2.0
1,18,1.0
1,20,2.0
1,21,3.0
2,6,1.0
2,12,1.0
2,13,3.0
2,14,3.0
2,17,2.0
2,18,1.0
3,11,1.0
3,12,3.0
3,13,3.0
3,14,3.0
3,15,1.0
3,16,2.0
3,22,3.0
3,24,1.0
4,4,2.0
4,11,2.0
4,12,3.0
4,13,2.0
4,14,2.0
4,15,3.0
4,16,2.0
4,21,3.0
4,23,2.0
4,24,3.0
5,4,1.0
5,5,1.0
5,12,2.0
5,13,2.0
5,14,3.0
5,15,2.0
5,16,2.0
5,18,3.0
5,21,2.0
6,11,2.0
6,12,1.0
6,13,2.0
6,14,2.0
6,15,1.0
6,16,2.0
6,18,3.0
6,19,3.0
6,20,3.0
6,21,1.0
6,22,1.0
6,23,2.0
7,11,1.0
7,12,2.0
7,13,2.0
7,14,2.0
7,15,2.0
7,16,3.0
7,17,2.0
7,18,2.0
7,19,1.0
7,20,1.0
7,21,3.0
7,22,2.0
7,26,3.0
8,0,1.0
8,1,2.0
8,2,1.0
8,3,1.0
8,4,1.0
8,5,1.0
8,11,2.0
8,12,1.0
8,13,1.0
8,14,2.0
8,15,1.0
8,16,2.0
8,17,1.0
8,18,2.0
8,19,2.0
8,20,1.0
8,21,1.0
8,22,3.0
8,26,1.0
9,1,1.0
9,2,1.0
9,3,3.0
9,4,1.0
9,5,1.0
9,9,3.0
9,10,2.0
9,11,1.0
9,12,1.0
9,13,1.0
9,14,2.0
9,16,1.0
9,17,1.0
9,18,1.0
9,20,1.0
9,23,1.0
9,24,3.0
9,25,2.0
9,26,3.0
10,3,1.0
10,4,1.0
10,5,1.0
10,6,2.0
10,7,1.0
10,8,1.0
10,9,2.0
10,10,1.0
10,11,2.0
10,12,1.0
10,13,1.0
10,14,1.0
10,15,1.0
10,16,2.0
10,17,3.0
10,18,2.0
10,19,1.0
10,20,1.0
10,21,2.0
10,23,3.0
10,24,3.0
10,26,1.0
11,0,1.0
11,3,1.0
11,4,1.0
11,5,1.0
11,6,1.0
11,7,1.0
11,8,1.0
11,10,1.0
11,11,2.0
11,12,1.0
11,13,1.0
11,14,2.0
11,15,2.0
11,16,2.0
11,17,2.0
11,18,1.0
11,19,1.0
11,20,1.0
11,21,1.0
11,22,3.0
11,23,1.0
11,24,1.0
11,25,1.0
11,26,1.0
12,5,1.0
12,6,1.0
12,7,2.0
12,8,2.0
12,9,3.0
12,10,1.0
12,11,2.0
12,12,2.0
12,13,2.0
12,14,2.0
12,15,2.0
12,16,2.0
12,17,1.0
12,18,2.0
12,19,2.0
12,20,1.0
12,21,2.0
12,22,2.0
12,23,2.0
12,24,1.0
12,25,1.0
12,26,1.0
13,3,1.0
13,5,1.0
13,6,1.0
13,7,1.0
13,8,1.0
